player_id,player_name,team,position,height_raw,weight_raw,height_inches,weight_lbs
1631213,Tyrese Martin,Nets,Forward,6-6,215,78,215.0
1629726,Garrison Mathews,Knicks,Guard,6-5,215,77,215.0
1631097,Bennedict Mathurin,Pacers,Guard-Forward,6-5,210,77,210.0
1631255,Karlo Matković,Pelicans,Forward-Center,6-10,231,82,231.0
1630178,Tyrese Maxey,76ers,Guard,6-2,200,74,200.0
1630540,Miles McBride,Knicks,Guard,6-2,195,74,195.0
1642272,Jared McCain,76ers,Guard,6-3,195,75,195.0
1630644,Mac McClung,Magic,Guard,6-2,185,74,185.0
203468,CJ McCollum,Wizards,Guard,6-3,190,75,190.0
204456,T.J. McConnell,Pacers,Guard,6-1,190,73,190.0
1641755,Kevin McCullar Jr.,Knicks,Guard,6-6,210,78,210.0
1630183,Jaden McDaniels,Timberwolves,Forward,6-9,185,81,185.0
1629667,Jalen McDaniels,,Forward,6-9,190,81,190.0
203926,Doug McDermott,Kings,Forward,6-6,225,78,225.0
1631121,Bryce McGowens,Pelicans,Guard,6-6,190,78,190.0
1629162,Jordan McLaughlin,Spurs,Guard,5-11,185,71,185.0
1629098,Jack McVeigh,Rockets,Guard-Forward,6-8,215,80,215.0
1629001,De'Anthony Melton,Warriors,Guard,6-3,200,75,200.0
1630241,Sam Merrill,Cavaliers,Guard,6-4,205,76,205.0
203995,Vasilije Micic,Suns,Guard,6-3,188,75,188.0
203114,Khris Middleton,Wizards,Forward,6-7,222,79,222.0
1641706,Brandon Miller,Hornets,Forward,6-7,200,79,200.0
1641801,Emanuel Miller,Bulls,Forward,6-7,215,79,215.0
1641757,Jordan Miller,Clippers,Guard,6-5,194,77,194.0
1631159,Leonard Miller,Timberwolves,Forward,6-10,220,82,220.0
201988,Patty Mills,Clippers,Guard,6-2,180,74,180.0
1629003,Shake Milton,Lakers,Guard,6-5,205,77,205.0
1631303,Justin Minaya,Trail Blazers,Forward,6-5,205,77,205.0
